checking_account_status,duration_months,credit_history,purpose,credit_amount,savings_account,employment_since,installment_rate_pct,personal_status_sex,other_debtors,residence_since,property,age,other_installment_plans,housing,existing_credits,job,num_dependents,telephone,foreign_worker,target
0-200 DM,24,kritik hesap,is,1935,<100 DM,>=7 yil,4,A91,A101,4,A121,31,A143,kendi evi,2,vasifli,1,A192,A201,1
<0 DM,15,kredi yok/hepsi odendi,araba(yeni),950,<100 DM,>=7 yil,4,A93,A101,3,A123,33,A143,kira,2,vasifli,2,A191,A201,1
hesap yok,12,simdiye odendi,mobilya,763,<100 DM,1-4 yil,4,A92,A101,1,A121,26,A143,kendi evi,1,vasifli,1,A192,A201,0
0-200 DM,24,gecmiste gecikme,mobilya,2064,<100 DM,issiz,3,A92,A101,2,A122,34,A143,kendi evi,1,yonetici/uzman,1,A192,A201,1
0-200 DM,8,simdiye odendi,radyo/TV,1414,<100 DM,1-4 yil,4,A93,A103,2,A121,33,A143,kendi evi,1,vasifli,1,A191,A202,0
<0 DM,21,gecmiste gecikme,egitim,3414,<100 DM,<1 yil,2,A93,A101,1,A122,26,A143,kendi evi,2,vasifli,1,A191,A201,1
hesap yok,30,bu bankada odendi,araba(eski),7485,bilinmiyor,issiz,4,A92,A101,1,A121,53,A141,kendi evi,1,yonetici/uzman,1,A192,A201,1
<0 DM,12,simdiye odendi,mobilya,2577,<100 DM,1-4 yil,2,A91,A101,1,A123,42,A143,kendi evi,1,vasifli,1,A191,A201,0
<0 DM,6,kritik hesap,radyo/TV,338,500-1000 DM,>=7 yil,4,A93,A101,4,A123,52,A143,kendi evi,2,vasifli,1,A191,A201,0
hesap yok,12,simdiye odendi,radyo/TV,1963,<100 DM,4-7 yil,4,A93,A101,2,A123,31,A143,kira,2,yonetici/uzman,2,A192,A201,0
<0 DM,21,kritik hesap,araba(yeni),571,<100 DM,>=7 yil,4,A93,A101,4,A121,65,A143,kendi evi,2,vasifli,1,A191,A201,0
hesap yok,36,gecmiste gecikme,is,9572,<100 DM,<1 yil,1,A91,A101,1,A123,28,A143,kendi evi,2,vasifli,1,A191,A201,1
0-200 DM,36,gecmiste gecikme,is,4455,<100 DM,1-4 yil,2,A91,A101,2,A121,30,A142,kendi evi,2,yonetici/uzman,1,A192,A201,1
<0 DM,21,bu bankada odendi,araba(yeni),1647,bilinmiyor,1-4 yil,4,A93,A101,2,A122,40,A143,kendi evi,2,vasifsiz-yerlesik,2,A191,A201,1
hesap yok,24,kritik hesap,mobilya,3777,>=1000 DM,1-4 yil,4,A93,A101,4,A121,50,A143,kendi evi,1,vasifli,1,A192,A201,0
0-200 DM,18,kritik hesap,araba(yeni),884,<100 DM,>=7 yil,4,A93,A101,4,A123,36,A141,kendi evi,1,vasifli,2,A192,A201,1
hesap yok,15,kritik hesap,radyo/TV,1360,<100 DM,1-4 yil,4,A93,A101,2,A122,31,A143,kendi evi,2,vasifli,1,A191,A201,0
0-200 DM,9,bu bankada odendi,araba(eski),5129,<100 DM,>=7 yil,2,A92,A101,4,A124,74,A141,ucretsiz,1,yonetici/uzman,2,A192,A201,1
0-200 DM,16,kritik hesap,araba(yeni),1175,<100 DM,issiz,2,A93,A101,3,A123,68,A143,ucretsiz,3,issiz/vasifsiz,1,A192,A201,0
<0 DM,12,simdiye odendi,radyo/TV,674,100-500 DM,4-7 yil,4,A94,A101,1,A122,20,A143,kendi evi,1,vasifli,1,A191,A201,1
0-200 DM,18,kredi yok/hepsi odendi,mobilya,3244,<100 DM,1-4 yil,1,A92,A101,4,A123,33,A141,kendi evi,2,vasifli,1,A192,A201,0
hesap yok,24,simdiye odendi,is,4591,>=1000 DM,1-4 yil,2,A93,A101,3,A122,54,A143,kendi evi,3,yonetici/uzman,1,A192,A201,1
0-200 DM,48,kredi yok/hepsi odendi,is,3844,100-500 DM,4-7 yil,4,A93,A101,4,A124,34,A143,ucretsiz,1,vasifsiz-yerlesik,2,A191,A201,1
0-200 DM,27,simdiye odendi,is,3915,<100 DM,1-4 yil,4,A93,A101,2,A123,36,A143,kendi evi,1,vasifli,2,A192,A201,1
hesap yok,6,simdiye odendi,radyo/TV,2108,<100 DM,4-7 yil,2,A94,A101,2,A121,29,A143,kira,1,vasifli,1,A191,A201,0
0-200 DM,45,simdiye odendi,radyo/TV,3031,100-500 DM,1-4 yil,4,A93,A103,4,A122,21,A143,kira,1,vasifli,1,A191,A201,1
0-200 DM,9,kritik hesap,egitim,1501,<100 DM,>=7 yil,2,A92,A101,3,A123,34,A143,kendi evi,2,yonetici/uzman,1,A192,A201,1
hesap yok,6,kritik hesap,radyo/TV,1382,<100 DM,1-4 yil,1,A92,A101,1,A123,28,A143,kendi evi,2,vasifli,1,A192,A201,0
0-200 DM,12,simdiye odendi,mobilya,951,100-500 DM,<1 yil,4,A92,A101,4,A123,27,A141,kira,4,vasifli,1,A191,A201,1
0-200 DM,24,simdiye odendi,araba(eski),2760,bilinmiyor,>=7 yil,4,A93,A101,4,A124,36,A141,ucretsiz,1,vasifli,1,A192,A201,0
0-200 DM,18,gecmiste gecikme,mobilya,4297,<100 DM,>=7 yil,4,A91,A101,3,A124,40,A143,kendi evi,1,yonetici/uzman,1,A192,A201,1
hesap yok,9,kritik hesap,egitim,936,500-1000 DM,>=7 yil,4,A93,A101,2,A123,52,A143,kendi evi,2,vasifli,1,A192,A201,0
<0 DM,12,simdiye odendi,araba(yeni),1168,<100 DM,1-4 yil,4,A94,A101,3,A121,27,A143,kendi evi,1,vasifsiz-yerlesik,1,A191,A201,0
hesap yok,27,gecmiste gecikme,is,5117,<100 DM,4-7 yil,3,A93,A101,4,A123,26,A143,kendi evi,2,vasifli,1,A191,A201,0
<0 DM,12,simdiye odendi,yeniden egitim,902,<100 DM,4-7 yil,4,A94,A101,4,A122,21,A143,kira,1,vasifli,1,A191,A201,1
hesap yok,12,kritik hesap,araba(yeni),1495,<100 DM,>=7 yil,4,A93,A101,1,A121,38,A143,kendi evi,2,vasifsiz-yerlesik,2,A191,A201,0
<0 DM,30,kritik hesap,araba(eski),10623,<100 DM,>=7 yil,3,A93,A101,4,A124,38,A143,ucretsiz,3,yonetici/uzman,2,A192,A201,0
hesap yok,12,kritik hesap,mobilya,1935,<100 DM,>=7 yil,4,A93,A101,4,A121,43,A143,kendi evi,3,vasifli,1,A192,A201,0
0-200 DM,12,kritik hesap,ev aleti,1424,<100 DM,4-7 yil,4,A93,A101,3,A122,26,A143,kendi evi,1,vasifli,1,A191,A201,0
<0 DM,24,simdiye odendi,is,6568,<100 DM,1-4 yil,2,A94,A101,2,A123,21,A142,kendi evi,1,vasifsiz-yerlesik,1,A191,A201,0
hesap yok,12,simdiye odendi,araba(eski),1413,>=1000 DM,4-7 yil,3,A93,A101,2,A122,55,A143,kendi evi,1,vasifli,1,A191,A202,0
hesap yok,9,kritik hesap,radyo/TV,3074,bilinmiyor,1-4 yil,1,A93,A101,2,A121,33,A143,kendi evi,2,vasifli,2,A191,A201,0
hesap yok,36,simdiye odendi,radyo/TV,3835,bilinmiyor,>=7 yil,2,A92,A101,4,A121,45,A143,kendi evi,1,vasifsiz-yerlesik,1,A192,A201,0
<0 DM,27,kredi yok/hepsi odendi,is,5293,<100 DM,issiz,2,A93,A101,4,A122,50,A142,kendi evi,2,vasifli,1,A192,A201,1
>=200 DM,30,gecmiste gecikme,is,1908,<100 DM,>=7 yil,4,A93,A101,4,A121,66,A143,kendi evi,1,yonetici/uzman,1,A192,A201,1
hesap yok,36,kritik hesap,radyo/TV,3342,bilinmiyor,>=7 yil,4,A93,A101,2,A123,51,A143,kendi evi,1,vasifli,1,A192,A201,0
0-200 DM,6,kritik hesap,yeniden egitim,932,bilinmiyor,4-7 yil,1,A92,A101,3,A122,39,A143,kendi evi,2,vasifsiz-yerlesik,1,A191,A201,0
<0 DM,18,kredi yok/hepsi odendi,is,3104,<100 DM,4-7 yil,3,A93,A101,1,A122,31,A141,kendi evi,1,vasifli,1,A192,A201,0
>=200 DM,36,simdiye odendi,radyo/TV,3913,<100 DM,1-4 yil,2,A93,A101,2,A121,23,A143,kendi evi,1,vasifli,1,A192,A201,0
<0 DM,24,simdiye odendi,mobilya,3021,<100 DM,1-4 yil,2,A91,A101,2,A121,24,A143,kira,1,vasifsiz-yerlesik,1,A191,A201,0
hesap yok,10,simdiye odendi,araba(yeni),1364,<100 DM,1-4 yil,2,A92,A101,4,A123,64,A143,kendi evi,1,vasifli,1,A192,A201,0
0-200 DM,12,simdiye odendi,radyo/TV,625,<100 DM,<1 yil,4,A94,A103,1,A121,26,A141,kendi evi,1,vasifsiz-yerlesik,1,A191,A201,0
<0 DM,12,simdiye odendi,egitim,1200,bilinmiyor,1-4 yil,4,A92,A101,4,A122,23,A141,kira,1,vasifli,1,A192,A201,0
hesap yok,12,simdiye odendi,radyo/TV,707,<100 DM,1-4 yil,4,A93,A101,2,A121,30,A141,kendi evi,2,vasifli,1,A191,A201,0
hesap yok,24,gecmiste gecikme,is,2978,bilinmiyor,1-4 yil,4,A93,A101,4,A121,32,A143,kendi evi,2,vasifli,2,A192,A201,0
hesap yok,15,simdiye odendi,araba(eski),4657,<100 DM,1-4 yil,3,A93,A101,2,A123,30,A143,kendi evi,1,vasifli,1,A192,A201,0
hesap yok,36,kredi yok/hepsi odendi,tamirat,2613,<100 DM,1-4 yil,4,A93,A101,2,A123,27,A143,kendi evi,2,vasifli,1,A191,A201,0
0-200 DM,48,simdiye odendi,radyo/TV,10961,>=1000 DM,4-7 yil,1,A93,A102,2,A124,27,A141,kendi evi,2,vasifli,1,A192,A201,1
<0 DM,12,simdiye odendi,mobilya,7865,<100 DM,>=7 yil,4,A93,A101,4,A124,53,A143,ucretsiz,1,yonetici/uzman,1,A192,A201,1
hesap yok,9,simdiye odendi,radyo/TV,1478,<100 DM,4-7 yil,4,A93,A101,2,A123,22,A143,kendi evi,1,vasifli,1,A191,A201,1
<0 DM,24,simdiye odendi,mobilya,3149,<100 DM,<1 yil,4,A93,A101,1,A124,22,A141,ucretsiz,1,vasifli,1,A191,A201,0
>=200 DM,36,simdiye odendi,radyo/TV,4210,<100 DM,1-4 yil,4,A93,A101,2,A123,26,A143,kendi evi,1,vasifli,1,A191,A201,1
hesap yok,9,simdiye odendi,araba(yeni),2507,500-1000 DM,>=7 yil,2,A93,A101,4,A124,51,A143,ucretsiz,1,vasifsiz-yerlesik,1,A191,A201,0
hesap yok,12,simdiye odendi,radyo/TV,2141,100-500 DM,4-7 yil,3,A93,A101,1,A124,35,A143,kendi evi,1,vasifli,1,A191,A201,0
0-200 DM,18,simdiye odendi,radyo/TV,866,<100 DM,1-4 yil,4,A94,A103,2,A121,25,A143,kendi evi,1,vasifsiz-yerlesik,1,A191,A201,0
hesap yok,4,kritik hesap,radyo/TV,1544,<100 DM,4-7 yil,2,A93,A101,1,A121,42,A143,kendi evi,3,vasifsiz-yerlesik,2,A191,A201,0
<0 DM,24,simdiye odendi,radyo/TV,1823,<100 DM,issiz,4,A93,A101,2,A123,30,A142,kendi evi,1,yonetici/uzman,2,A191,A201,1
0-200 DM,6,simdiye odendi,araba(yeni),14555,bilinmiyor,issiz,1,A93,A101,2,A122,23,A143,kendi evi,1,issiz/vasifsiz,1,A192,A201,1
0-200 DM,21,simdiye odendi,is,2767,100-500 DM,>=7 yil,4,A91,A101,2,A123,61,A141,kira,2,vasifsiz-yerlesik,1,A191,A201,1
hesap yok,12,kritik hesap,radyo/TV,1291,<100 DM,1-4 yil,4,A92,A101,2,A122,35,A143,kendi evi,2,vasifli,1,A191,A201,0
<0 DM,30,simdiye odendi,radyo/TV,2522,<100 DM,>=7 yil,1,A93,A103,3,A122,39,A143,kendi evi,1,vasifli,2,A191,A201,0
<0 DM,24,simdiye odendi,araba(yeni),915,bilinmiyor,>=7 yil,4,A92,A101,2,A123,29,A141,kendi evi,1,vasifli,1,A191,A201,1
hesap yok,6,simdiye odendi,radyo/TV,1595,<100 DM,4-7 yil,3,A93,A101,2,A122,51,A143,kendi evi,1,vasifli,2,A191,A201,0
<0 DM,48,kredi yok/hepsi odendi,araba(eski),4605,<100 DM,>=7 yil,3,A93,A101,4,A124,24,A143,ucretsiz,2,vasifli,2,A191,A201,1
hesap yok,12,kritik hesap,is,1185,<100 DM,1-4 yil,3,A92,A101,2,A121,27,A143,kendi evi,2,vasifli,1,A191,A201,0
hesap yok,12,bu bankada odendi,yeniden egitim,3447,500-1000 DM,1-4 yil,4,A92,A101,3,A121,35,A143,kendi evi,1,vasifsiz-yerlesik,2,A191,A201,0
hesap yok,24,simdiye odendi,is,1258,<100 DM,4-7 yil,4,A93,A101,1,A121,25,A143,kendi evi,1,vasifli,1,A192,A201,0
hesap yok,12,kritik hesap,radyo/TV,717,<100 DM,>=7 yil,4,A93,A101,4,A121,52,A143,kendi evi,3,vasifli,1,A191,A201,0
hesap yok,6,kredi yok/hepsi odendi,araba(yeni),1204,100-500 DM,1-4 yil,4,A93,A101,1,A124,35,A141,kira,1,vasifli,1,A191,A202,0
>=200 DM,24,simdiye odendi,mobilya,1925,<100 DM,1-4 yil,2,A93,A101,2,A121,26,A143,kendi evi,1,vasifli,1,A191,A201,0
hesap yok,18,simdiye odendi,radyo/TV,433,<100 DM,issiz,3,A92,A102,4,A121,22,A143,kira,1,vasifli,1,A191,A201,1
<0 DM,6,kritik hesap,araba(yeni),666,>=1000 DM,4-7 yil,3,A92,A101,4,A121,39,A143,kendi evi,2,vasifsiz-yerlesik,1,A192,A201,0
>=200 DM,12,simdiye odendi,mobilya,2251,<100 DM,1-4 yil,1,A92,A101,2,A123,46,A143,kendi evi,1,vasifsiz-yerlesik,1,A191,A201,0
0-200 DM,30,simdiye odendi,araba(yeni),2150,<100 DM,1-4 yil,4,A92,A103,2,A124,24,A141,kendi evi,1,vasifli,1,A191,A201,1
hesap yok,24,gecmiste gecikme,mobilya,4151,100-500 DM,1-4 yil,2,A93,A101,3,A122,35,A143,kendi evi,2,vasifli,1,A191,A201,0
0-200 DM,9,simdiye odendi,mobilya,2030,bilinmiyor,4-7 yil,2,A93,A101,1,A123,24,A143,kendi evi,1,vasifli,1,A192,A201,0
0-200 DM,60,gecmiste gecikme,radyo/TV,7418,bilinmiyor,1-4 yil,1,A93,A101,1,A121,27,A143,kendi evi,1,vasifsiz-yerlesik,1,A191,A201,0
hesap yok,24,kritik hesap,radyo/TV,2684,<100 DM,1-4 yil,4,A93,A101,2,A121,35,A143,kendi evi,2,vasifsiz-yerlesik,1,A191,A201,0
<0 DM,12,bu bankada odendi,radyo/TV,2149,<100 DM,1-4 yil,4,A91,A101,1,A124,29,A143,ucretsiz,1,vasifli,1,A191,A201,1
hesap yok,15,simdiye odendi,araba(eski),3812,100-500 DM,<1 yil,1,A92,A101,4,A123,23,A143,kendi evi,1,vasifli,1,A192,A201,0
hesap yok,11,kritik hesap,radyo/TV,1154,100-500 DM,issiz,4,A92,A101,4,A121,57,A143,kendi evi,3,vasifsiz-yerlesik,1,A191,A201,0
<0 DM,12,simdiye odendi,mobilya,1657,<100 DM,1-4 yil,2,A93,A101,2,A121,27,A143,kendi evi,1,vasifli,1,A191,A201,0
<0 DM,24,simdiye odendi,radyo/TV,1603,<100 DM,>=7 yil,4,A92,A101,4,A123,55,A143,kendi evi,1,vasifli,1,A191,A201,0
<0 DM,18,kritik hesap,araba(yeni),5302,<100 DM,>=7 yil,2,A93,A101,4,A124,36,A143,ucretsiz,3,yonetici/uzman,1,A192,A201,0
hesap yok,12,kritik hesap,egitim,2748,<100 DM,>=7 yil,2,A92,A101,4,A124,57,A141,ucretsiz,3,vasifsiz-yerlesik,1,A191,A201,0
hesap yok,10,kritik hesap,araba(yeni),1231,<100 DM,>=7 yil,3,A93,A101,4,A121,32,A143,kendi evi,2,vasifsiz-yerlesik,2,A191,A202,0
0-200 DM,15,simdiye odendi,radyo/TV,802,<100 DM,>=7 yil,4,A93,A101,3,A123,37,A143,kendi evi,1,vasifli,2,A191,A201,1
hesap yok,36,kritik hesap,is,6304,bilinmiyor,>=7 yil,4,A93,A101,4,A121,36,A143,kendi evi,2,vasifli,1,A191,A201,0
hesap yok,24,simdiye odendi,radyo/TV,1533,<100 DM,<1 yil,4,A92,A101,3,A123,38,A142,kendi evi,1,vasifli,1,A192,A201,0
<0 DM,14,simdiye odendi,araba(yeni),8978,<100 DM,>=7 yil,1,A91,A101,4,A122,45,A143,kendi evi,1,yonetici/uzman,1,A192,A202,1
hesap yok,24,simdiye odendi,radyo/TV,999,bilinmiyor,>=7 yil,4,A93,A101,2,A123,25,A143,kendi evi,2,vasifli,1,A191,A201,0
hesap yok,18,simdiye odendi,araba(yeni),2662,bilinmiyor,4-7 yil,4,A93,A101,3,A122,32,A143,kendi evi,1,vasifli,1,A191,A202,0
hesap yok,12,kritik hesap,mobilya,1402,500-1000 DM,4-7 yil,3,A92,A101,4,A123,37,A143,kira,1,vasifli,1,A192,A201,0
0-200 DM,48,bu bankada odendi,araba(yeni),12169,bilinmiyor,issiz,4,A93,A102,4,A124,36,A143,ucretsiz,1,yonetici/uzman,1,A192,A201,0
0-200 DM,48,simdiye odendi,radyo/TV,3060,<100 DM,4-7 yil,4,A93,A101,4,A121,28,A143,kendi evi,2,vasifli,1,A191,A201,1
<0 DM,30,simdiye odendi,tamirat,11998,<100 DM,<1 yil,1,A91,A101,1,A124,34,A143,kendi evi,1,vasifsiz-yerlesik,1,A192,A201,1
hesap yok,9,simdiye odendi,radyo/TV,2697,<100 DM,1-4 yil,1,A93,A101,2,A121,32,A143,kendi evi,1,vasifli,2,A191,A201,0
hesap yok,18,kritik hesap,radyo/TV,2404,<100 DM,1-4 yil,2,A92,A101,2,A123,26,A143,kendi evi,2,vasifli,1,A191,A201,0
<0 DM,12,simdiye odendi,mobilya,1262,bilinmiyor,>=7 yil,2,A91,A101,4,A122,49,A143,kendi evi,1,vasifsiz-yerlesik,1,A192,A201,0
hesap yok,6,simdiye odendi,mobilya,4611,<100 DM,<1 yil,1,A92,A101,4,A122,32,A143,kendi evi,1,vasifli,1,A191,A201,1
hesap yok,24,simdiye odendi,radyo/TV,1901,100-500 DM,1-4 yil,4,A93,A101,4,A123,29,A143,kira,1,yonetici/uzman,1,A192,A201,0
hesap yok,15,kritik hesap,araba(eski),3368,>=1000 DM,>=7 yil,3,A93,A101,4,A124,23,A143,kira,2,vasifli,1,A192,A201,0
hesap yok,12,simdiye odendi,mobilya,1574,<100 DM,1-4 yil,4,A93,A101,2,A121,50,A143,kendi evi,1,vasifli,1,A191,A201,0
>=200 DM,18,bu bankada odendi,radyo/TV,1445,bilinmiyor,4-7 yil,4,A93,A101,4,A123,49,A141,kendi evi,1,vasifsiz-yerlesik,1,A191,A201,0
hesap yok,15,kritik hesap,mobilya,1520,bilinmiyor,>=7 yil,4,A93,A101,4,A122,63,A143,kendi evi,1,vasifli,1,A191,A201,0
0-200 DM,24,kritik hesap,araba(yeni),3878,100-500 DM,<1 yil,4,A91,A101,2,A123,37,A143,kendi evi,1,vasifli,1,A192,A201,0
<0 DM,47,simdiye odendi,araba(yeni),10722,<100 DM,<1 yil,1,A92,A101,1,A121,35,A143,kendi evi,1,vasifsiz-yerlesik,1,A192,A201,0
<0 DM,48,simdiye odendi,araba(eski),4788,<100 DM,4-7 yil,4,A93,A101,3,A122,26,A143,kendi evi,1,vasifli,2,A191,A201,0
0-200 DM,48,gecmiste gecikme,diger,7582,100-500 DM,issiz,2,A93,A101,4,A124,31,A143,ucretsiz,1,yonetici/uzman,1,A192,A201,0
0-200 DM,12,simdiye odendi,radyo/TV,1092,<100 DM,1-4 yil,4,A92,A103,4,A121,49,A143,kendi evi,2,vasifli,1,A192,A201,0
<0 DM,24,gecmiste gecikme,radyo/TV,1024,<100 DM,<1 yil,4,A94,A101,4,A121,48,A142,kendi evi,1,vasifli,1,A191,A201,1
hesap yok,12,simdiye odendi,is,1076,<100 DM,1-4 yil,2,A94,A101,2,A121,26,A143,kendi evi,1,vasifli,1,A192,A202,0
0-200 DM,36,simdiye odendi,araba(eski),9398,<100 DM,<1 yil,1,A94,A101,4,A123,28,A143,kira,1,yonetici/uzman,1,A192,A201,1
<0 DM,24,kritik hesap,araba(eski),6419,<100 DM,>=7 yil,2,A92,A101,4,A124,44,A143,ucretsiz,2,yonetici/uzman,2,A192,A201,0
>=200 DM,42,kritik hesap,araba(eski),4796,<100 DM,>=7 yil,4,A93,A101,4,A124,56,A143,ucretsiz,1,vasifli,1,A191,A201,0
hesap yok,48,kritik hesap,is,7629,bilinmiyor,>=7 yil,4,A91,A101,2,A123,46,A141,kendi evi,2,yonetici/uzman,2,A191,A201,0
0-200 DM,48,simdiye odendi,mobilya,9960,<100 DM,<1 yil,1,A92,A101,2,A123,26,A143,kendi evi,1,vasifli,1,A192,A201,1
hesap yok,12,simdiye odendi,araba(eski),4675,bilinmiyor,<1 yil,1,A92,A101,4,A123,20,A143,kira,1,vasifli,1,A191,A201,0
hesap yok,10,simdiye odendi,araba(yeni),1287,bilinmiyor,>=7 yil,4,A93,A102,2,A122,45,A143,kendi evi,1,vasifsiz-yerlesik,1,A191,A202,0
hesap yok,18,simdiye odendi,mobilya,2515,<100 DM,1-4 yil,3,A93,A101,4,A121,43,A143,kendi evi,1,vasifli,1,A192,A201,0
0-200 DM,21,kritik hesap,mobilya,2745,>=1000 DM,4-7 yil,3,A93,A101,2,A123,32,A143,kendi evi,2,vasifli,1,A192,A201,0
hesap yok,6,simdiye odendi,araba(yeni),672,<100 DM,issiz,1,A92,A101,4,A121,54,A143,kendi evi,1,issiz/vasifsiz,1,A192,A201,0
0-200 DM,36,kredi yok/hepsi odendi,radyo/TV,3804,<100 DM,1-4 yil,4,A92,A101,1,A123,42,A143,kendi evi,1,vasifli,1,A192,A201,1
>=200 DM,24,kritik hesap,araba(yeni),1344,bilinmiyor,4-7 yil,4,A93,A101,2,A121,37,A141,kendi evi,2,vasifsiz-yerlesik,2,A191,A201,1
<0 DM,10,kritik hesap,araba(yeni),1038,<100 DM,4-7 yil,4,A93,A102,3,A122,49,A143,kendi evi,2,vasifli,1,A192,A201,0
hesap yok,48,kritik hesap,araba(yeni),10127,500-1000 DM,1-4 yil,2,A93,A101,2,A124,44,A141,ucretsiz,1,vasifli,1,A191,A201,1
hesap yok,6,simdiye odendi,mobilya,1543,>=1000 DM,1-4 yil,4,A91,A101,2,A121,33,A143,kendi evi,1,vasifli,1,A191,A201,0
hesap yok,30,simdiye odendi,araba(eski),4811,bilinmiyor,4-7 yil,2,A92,A101,4,A122,24,A142,kira,1,vasifsiz-yerlesik,1,A191,A201,0
<0 DM,12,simdiye odendi,radyo/TV,727,100-500 DM,<1 yil,4,A94,A101,3,A124,33,A143,kendi evi,1,vasifsiz-yerlesik,1,A192,A201,1
0-200 DM,8,simdiye odendi,mobilya,1237,<100 DM,1-4 yil,3,A92,A101,4,A121,24,A143,kendi evi,1,vasifli,1,A191,A201,1
0-200 DM,9,simdiye odendi,araba(yeni),276,<100 DM,1-4 yil,4,A94,A101,4,A121,22,A143,kira,1,vasifsiz-yerlesik,1,A191,A201,0
0-200 DM,48,simdiye odendi,diger,5381,bilinmiyor,issiz,3,A93,A101,4,A124,40,A141,ucretsiz,1,issiz/vasifsiz,1,A192,A201,0
hesap yok,24,simdiye odendi,mobilya,5511,100-500 DM,1-4 yil,4,A93,A101,1,A123,25,A142,kendi evi,1,vasifli,1,A191,A201,0
>=200 DM,24,simdiye odendi,mobilya,3749,<100 DM,<1 yil,2,A92,A101,4,A123,26,A143,kendi evi,1,vasifli,1,A191,A201,0
0-200 DM,12,simdiye odendi,araba(yeni),685,<100 DM,4-7 yil,2,A94,A101,3,A123,25,A141,kendi evi,1,vasifsiz-yerlesik,1,A191,A201,1
>=200 DM,4,simdiye odendi,araba(yeni),1494,bilinmiyor,<1 yil,1,A93,A101,2,A121,29,A143,kendi evi,1,vasifsiz-yerlesik,2,A191,A202,0
<0 DM,36,bu bankada odendi,mobilya,2746,<100 DM,>=7 yil,4,A93,A101,4,A123,31,A141,kendi evi,1,vasifli,1,A191,A201,1
<0 DM,12,simdiye odendi,mobilya,708,<100 DM,1-4 yil,2,A93,A103,3,A122,38,A143,kendi evi,1,vasifsiz-yerlesik,2,A191,A201,0
0-200 DM,24,simdiye odendi,mobilya,4351,bilinmiyor,1-4 yil,1,A92,A101,4,A122,48,A143,kendi evi,1,vasifsiz-yerlesik,1,A192,A201,0
hesap yok,12,kritik hesap,egitim,701,<100 DM,1-4 yil,4,A93,A101,2,A123,32,A143,kendi evi,2,vasifli,1,A191,A201,0
<0 DM,15,gecmiste gecikme,mobilya,3643,<100 DM,>=7 yil,1,A92,A101,4,A122,27,A143,kendi evi,2,vasifsiz-yerlesik,1,A191,A201,0
0-200 DM,30,kritik hesap,araba(yeni),4249,<100 DM,issiz,4,A94,A101,2,A123,28,A143,kendi evi,2,yonetici/uzman,1,A191,A201,1
<0 DM,24,simdiye odendi,radyo/TV,1938,<100 DM,<1 yil,4,A91,A101,3,A122,32,A143,kendi evi,1,vasifli,1,A191,A201,1
<0 DM,24,simdiye odendi,araba(eski),2910,<100 DM,4-7 yil,2,A93,A101,1,A124,34,A143,ucretsiz,1,yonetici/uzman,1,A192,A201,0
<0 DM,18,simdiye odendi,mobilya,2659,>=1000 DM,1-4 yil,4,A93,A101,2,A123,28,A143,kendi evi,1,vasifli,1,A191,A201,0
hesap yok,18,kritik hesap,araba(yeni),1028,<100 DM,1-4 yil,4,A92,A101,3,A121,36,A143,kendi evi,2,vasifli,1,A191,A201,0
<0 DM,8,kritik hesap,araba(yeni),3398,<100 DM,4-7 yil,1,A93,A101,4,A121,39,A143,kendi evi,2,vasifsiz-yerlesik,1,A191,A202,0
hesap yok,12,kritik hesap,mobilya,5801,bilinmiyor,>=7 yil,2,A93,A101,4,A122,49,A143,kira,1,vasifli,1,A192,A201,0
hesap yok,24,simdiye odendi,araba(yeni),1525,>=1000 DM,4-7 yil,4,A92,A101,3,A123,34,A143,kendi evi,1,vasifli,2,A192,A201,0
>=200 DM,36,simdiye odendi,radyo/TV,4473,<100 DM,>=7 yil,4,A93,A101,2,A123,31,A143,kendi evi,1,vasifli,1,A191,A201,0
0-200 DM,6,simdiye odendi,radyo/TV,1068,<100 DM,>=7 yil,4,A93,A101,4,A123,28,A143,kendi evi,1,vasifli,2,A191,A201,0
<0 DM,24,kritik hesap,araba(eski),6615,<100 DM,issiz,2,A93,A101,4,A124,75,A143,ucretsiz,2,yonetici/uzman,1,A192,A201,0
hesap yok,18,kritik hesap,egitim,1864,100-500 DM,1-4 yil,4,A92,A101,2,A121,30,A143,kendi evi,2,vasifli,1,A191,A201,1
0-200 DM,60,simdiye odendi,araba(yeni),7408,100-500 DM,<1 yil,4,A92,A101,2,A122,24,A143,kendi evi,1,yonetici/uzman,1,A191,A201,1
hesap yok,48,kritik hesap,araba(eski),11590,100-500 DM,1-4 yil,2,A92,A101,4,A123,24,A141,kira,2,vasifsiz-yerlesik,1,A191,A201,1
<0 DM,24,kredi yok/hepsi odendi,mobilya,4110,<100 DM,>=7 yil,3,A93,A101,4,A124,23,A141,kira,2,vasifli,2,A191,A201,1
<0 DM,6,kritik hesap,mobilya,3384,<100 DM,1-4 yil,1,A91,A101,4,A121,44,A143,kira,1,yonetici/uzman,1,A192,A201,1
0-200 DM,13,simdiye odendi,radyo/TV,2101,<100 DM,<1 yil,2,A92,A103,4,A122,23,A143,kendi evi,1,vasifsiz-yerlesik,1,A191,A201,0
<0 DM,15,simdiye odendi,ev aleti,1275,bilinmiyor,1-4 yil,4,A92,A101,2,A123,24,A143,kira,1,vasifli,1,A191,A201,1
<0 DM,24,simdiye odendi,mobilya,4169,<100 DM,1-4 yil,4,A93,A101,4,A122,28,A143,kendi evi,1,vasifli,1,A191,A201,0
